source,target
22796457,1349592
22796457,22585660
16140462,18495240
16140462,12847372
16140462,19713173
16140462,19262745
16140462,22643488
16140462,5282132
16140462,11077852
16140462,21747934
16140462,23053409
16140462,22422502
16140462,1805550
16140462,15552112
16140462,1505523
16140462,22130047
15335602,710272
15335602,18562307
15335602,1787157
15335602,19249559
15335602,18494105
15335602,26040985
15335602,191516
15335602,6641192
15335602,1324203
15335602,18180033
15335602,227528
15335602,18506072
15335602,22197221
15335602,22422502
15335602,19934054
15335602,22736876
15335602,16548342
15335602,11776502
18297014,1102353
18297014,191516
18297014,18955830
18297014,20181560
18297014,22023226
18297014,10000962
18297014,339011
18297014,1772099
18297014,16607822
18297014,1457232
18297014,6190702
18297014,15552112
18297014,1741429
18297014,929402
18297014,1473660
18297014,24906881
18297014,23398017
18297014,1240194
18297014,18672773
18297014,541319
18297014,19708553
18297014,19713173
18297014,19847832
18297014,20186791
18297014,18549438
18297014,10178242
18297014,19556549
18297014,227528
18297014,14546632
18297014,19680459
18297014,4705492
18297014,11077852
18297014,21174496
18297014,25681644
18297014,18634990
18297014,18243826
18297014,1505523
18297014,6629622
18297014,18562307
18297014,18495240
18297014,12847372
18297014,19728145
18297014,8805172
18297014,1078077
18297014,528705
18297014,1431882
18297014,19496778
18297014,24584525
18297014,5282132
18297014,1371991
18297014,18506072
18297014,20377949
18297014,24811380
18297014,1786237
18297014,1187715
18297014,6335372
18297014,14396812
18297014,20336043
18297014,18314669
18297014,18476981
18297014,1751502
18297014,7699922
18297014,1349592
18297014,1576921
18297014,18573279
18297014,1622500
18297014,22197221
18297014,1642477
18297014,19094001
18297014,24693747
18297014,16548342
18297014,11776502
18297014,19654655
4126912,535553
4126912,19194894
4126912,21533726
4126912,2556962
4126912,19528743
4126912,22817838
4126912,22023226
4126912,339011
4126912,19964997
4126912,21957723
4126912,7130232
4126912,19713173
4126912,18801828
4126912,7836842
4126912,1324203
4126912,18964683
4126912,4705492
4126912,21043417
4126912,11077852
4126912,21174496
4126912,8771812
4126912,18361585
4126912,18243826
4126912,15297782
4126912,18556157
4126912,1358081
4126912,18562307
4126912,1787157
4126912,19262745
4126912,19416348
4126912,1433893
4126912,1169709
4126912,19108156
4126912,528705
4126912,11626822
4126912,4268372
4126912,22021463
4126912,18506072
4126912,11625832
4126912,24553853
4126912,3173762
4126912,16487812
4126912,21686664
4126912,19218850
4126912,21837219
4126912,20583850
4126912,405938
4126912,16536012
4126912,1751502
4126912,1622500
4126912,19094001
4126912,10016242
4126912,16548342
4126912,18798102
4126912,788001
4126912,9307682
4126912,1728035
4126912,18855476
4126912,18955830
4126912,11294262
4126912,10000962
4126912,16607822
4126912,13560402
4126912,16477792
4126912,6190702
4126912,15552112
4126912,24153712
4126912,1741429
4126912,929402
4126912,19033734
4126912,541319
4126912,1492619
4126912,1776274
4126912,18494105
4126912,252576
4126912,16447162
4126912,6707902
4126912,21989057
4126912,10178242
4126912,16062152
4126912,14649032
4126912,14546632
4126912,21715712
4126912,19728145
4126912,16954142
4126912,19997487
4126912,18471729
4126912,1360698
4126912,8908602
4126912,7700282
4126912,18996036
4126912,14380872
4126912,7151442
4126912,19266390
4126912,1371991
4126912,18779992
4126912,5618532
4126912,18529135
4126912,1187715
4126912,19266450
4126912,11862932
4126912,13728662
4126912,1743773
4126912,3376042
4126912,711599
4126912,18589616
4126912,17467312
4126912,18314164
4126912,18476981
4126912,9376702
4126912,16067522
4126912,18616278
4126912,1576921
4126912,204767
4126912,22197221
4126912,20197351
4126912,526316
4126912,8968172
4126912,18256892
4126912,18414590
4126912,19654655
19556549,710272
19556549,12588802
19556549,18562307
19556549,18798102
19556549,17487002
19556549,252576
19556549,788001
19556549,19218850
19556549,6641192
19556549,1324203
19556549,11938732
19556549,405938
19556549,1697586
19556549,11294262
19556549,6707902
19556549,1772099
19556549,14546632
19556549,24584525
19556549,24675279
19556549,5282132
19556549,19100119
19556549,22197221
19556549,26018023
19556549,25587693
19556549,2496252
19904711,16487812
19904711,19728145
19904711,11862932
19904711,1787157
19904711,10016162
19904711,17467312
19904711,405938
19904711,1526075
19904711,9376702
19904711,10178242
19904711,14546632
19904711,17872862
19904711,22197221
19904711,11625832
19904711,22736876
19904711,19828207
227528,191516
227528,4631582
227528,1728035
227528,6641192
227528,18955830
227528,18658376
227528,13560402
227528,929402
227528,710272
227528,541319
227528,11375762
227528,1776274
227528,19713173
227528,19847832
227528,26040985
227528,252576
227528,19687074
227528,20186791
227528,7836842
227528,1324203
227528,19828398
227528,21989057
227528,18660552
227528,16062152
227528,4705492
227528,21174496
227528,25397992
227528,18361585
227528,18243826
227528,1505523
227528,18562307
227528,18456837
227528,19728145
227528,1787157
227528,19997487
227528,8805172
227528,20757821
227528,20806988
227528,7151442
227528,5282132
227528,19266390
227528,1371991
227528,18506072
227528,18286946
227528,19934054
227528,11625832
227528,1763190
227528,18517376
227528,1187715
227528,1665418
227528,14396812
227528,6335372
227528,19249559
227528,18923420
227528,18314669
227528,18589616
227528,18180033
227528,22985677
227528,7699922
227528,19100119
227528,1349592
227528,20807142
227528,22422502
227528,526316
227528,1642477
227528,19828207
227528,10016242
227528,24693747
227528,11776502
18964683,18801828
21043417,21715712
21043417,18562307
21043417,19728145
21043417,19416348
21043417,16954142
21043417,18425641
21043417,20181560
21043417,7700282
21043417,8908602
21043417,19964997
21043417,14380872
21043417,19266390
21043417,1371991
21043417,18506072
21043417,6190702
21043417,18529135
21043417,21245809
21043417,1741429
21043417,1492619
21043417,19822479
21043417,1776274
21043417,252576
21043417,3376042
21043417,20336043
21043417,18589616
21043417,16067522
21043417,1751502
21043417,4705492
21043417,1498076
21043417,21747934
21043417,21174496
21043417,20807142
21043417,22736876
11077852,535553
11077852,1102353
11077852,21533726
11077852,2556962
11077852,1728035
11077852,19528743
11077852,22817838
11077852,11294262
11077852,18955830
11077852,20181560
11077852,339011
11077852,1772099
11077852,16607822
11077852,13560402
11077852,16477792
11077852,23053409
11077852,15552112
11077852,7130232
11077852,929402
11077852,541319
11077852,1492619
11077852,6230672
11077852,18795154
11077852,19713173
11077852,18494105
11077852,17487002
11077852,20493986
11077852,18801828
11077852,7836842
11077852,6707902
11077852,10178242
11077852,20384452
11077852,14546632
11077852,14649032
11077852,16062152
11077852,4705492
11077852,21747934
11077852,21174496
11077852,11184352
11077852,8771812
11077852,25681644
11077852,18361585
11077852,18243826
11077852,1505523
11077852,14566132
11077852,15297782
11077852,2496252
11077852,1358081
11077852,18562307
11077852,18456837
11077852,19728145
11077852,19262745
11077852,19416348
11077852,21651228
11077852,22643488
11077852,1169709
11077852,19997487
11077852,1697586
11077852,1360698
11077852,1526075
11077852,22585660
11077852,1078077
11077852,19108156
11077852,20757821
11077852,23040833
11077852,1354051
11077852,7151442
11077852,5282132
11077852,19266390
11077852,1371991
11077852,18506072
11077852,18779992
11077852,20377949
11077852,18286946
11077852,20129636
11077852,11625832
11077852,1786237
11077852,3173762
11077852,1187715
11077852,16487812
11077852,21755271
11077852,21686664
11077852,10426762
11077852,14396812
11077852,11862932
11077852,19249559
11077852,22730657
11077852,19218850
11077852,20336043
11077852,23723436
11077852,18589616
11077852,17467312
11077852,405938
11077852,23112117
11077852,18476981
11077852,9376702
11077852,18180033
11077852,16067522
11077852,25717708
11077852,1751502
11077852,6284242
11077852,18616278
11077852,1349592
11077852,1622500
11077852,22197221
11077852,1642477
11077852,19828207
11077852,19094001
11077852,10016242
11077852,16548342
11077852,47094
11077852,18256892
11077852,18414590
11077852,19654655
21747934,19262745
21747934,22643488
21747934,23053409
21747934,22422502
21747934,1505523
21747934,22130047
11184352,1358081
11184352,16954142
11184352,18850080
11184352,25521445
11184352,1274150
11184352,11294262
11184352,18677333
11184352,19266390
11184352,18506072
11184352,16477792
11184352,5618532
11184352,19827046
11184352,7130232
11184352,929402
11184352,23398017
11184352,1776274
11184352,11862932
11184352,252576
11184352,26090658
11184352,21837219
11184352,23594916
11184352,18801828
11184352,3376042
11184352,20583850
11184352,6707902
11184352,9376702
11184352,10178242
11184352,14649032
11184352,16062152
11184352,14546632
11184352,1498076
11184352,10016242
11184352,18243826
21174496,2520612
21174496,8548902
21174496,18955830
21174496,11294262
21174496,20181560
21174496,339011
